V(NaOH),pH,dpH,dV,dpH/dV
0,2.81,,,
1,2.84,0.0299999999999998,1,0.0299999999999998
2,2.99,0.15,1,0.15
3,3.32,0.33,1,0.33
4,4.48,1.16,1,1.16
5,6.11,1.63,1,1.63
6,6.48,0.37,1,0.37
7,6.69,0.21,1,0.21
8,6.88,0.19,1,0.19
9,7.05,0.17,1,0.17
10,7.22,0.17,1,0.17
11,7.4,0.180000000000001,1,0.180000000000001
12,7.6,0.199999999999999,1,0.199999999999999
13,7.89,0.29,1,0.29
14,8.47,0.580000000000001,1,0.580000000000001
15,10.53,2.06,1,2.06
16,11.08,0.550000000000001,1,0.550000000000001
17,11.31,0.23,1,0.23
18,11.47,0.16,1,0.16
19,11.58,0.109999999999999,1,0.109999999999999
20,11.68,0.0999999999999996,1,0.0999999999999996
