Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
300.00	0.10132	11.160	0.089608	-7.5718	-7.5627	-23.178	95.519	135.82	1292.4	-0.42029	587.85	0.14065	liquid
301.00	0.10132	11.146	0.089716	-7.4359	-7.4268	-22.725	95.714	136.03	1287.7	-0.41885	579.92	0.14031	liquid
302.00	0.10132	11.133	0.089825	-7.2998	-7.2907	-22.274	95.910	136.25	1283.0	-0.41740	572.17	0.13998	liquid
303.00	0.10132	11.119	0.089934	-7.1634	-7.1543	-21.823	96.108	136.47	1278.3	-0.41594	564.58	0.13965	liquid
304.00	0.10132	11.106	0.090044	-7.0268	-7.0177	-21.373	96.306	136.69	1273.6	-0.41447	557.16	0.13932	liquid
305.00	0.10132	11.092	0.090154	-6.8901	-6.8809	-20.924	96.505	136.91	1268.9	-0.41299	549.89	0.13899	liquid
306.00	0.10132	11.079	0.090264	-6.7530	-6.7439	-20.475	96.705	137.13	1264.3	-0.41150	542.78	0.13866	liquid
307.00	0.10132	11.065	0.090375	-6.6158	-6.6067	-20.027	96.905	137.36	1259.6	-0.40999	535.82	0.13833	liquid
308.00	0.10132	11.051	0.090486	-6.4784	-6.4692	-19.580	97.107	137.58	1255.0	-0.40848	529.00	0.13800	liquid
309.00	0.10132	11.038	0.090598	-6.3407	-6.3315	-19.134	97.309	137.81	1250.3	-0.40696	522.32	0.13767	liquid
310.00	0.10132	11.024	0.090710	-6.2028	-6.1936	-18.688	97.512	138.04	1245.7	-0.40543	515.77	0.13734	liquid
311.00	0.10132	11.011	0.090822	-6.0646	-6.0554	-18.243	97.716	138.27	1241.0	-0.40388	509.36	0.13702	liquid
312.00	0.10132	10.997	0.090935	-5.9262	-5.9170	-17.799	97.921	138.50	1236.4	-0.40233	503.07	0.13669	liquid
313.00	0.10132	10.983	0.091048	-5.7876	-5.7784	-17.356	98.126	138.73	1231.8	-0.40077	496.91	0.13637	liquid
314.00	0.10132	10.970	0.091161	-5.6488	-5.6396	-16.913	98.332	138.96	1227.2	-0.39919	490.86	0.13604	liquid
315.00	0.10132	10.956	0.091275	-5.5097	-5.5005	-16.471	98.539	139.20	1222.6	-0.39761	484.94	0.13572	liquid
316.00	0.10132	10.942	0.091389	-5.3704	-5.3612	-16.029	98.746	139.43	1218.0	-0.39601	479.12	0.13540	liquid
317.00	0.10132	10.928	0.091504	-5.2309	-5.2216	-15.588	98.955	139.67	1213.4	-0.39441	473.41	0.13508	liquid
318.00	0.10132	10.915	0.091619	-5.0911	-5.0818	-15.148	99.163	139.91	1208.8	-0.39280	467.82	0.13476	liquid
319.00	0.10132	10.901	0.091735	-4.9511	-4.9418	-14.708	99.373	140.14	1204.2	-0.39117	462.32	0.13444	liquid
320.00	0.10132	10.887	0.091851	-4.8109	-4.8016	-14.269	99.583	140.38	1199.7	-0.38954	456.93	0.13412	liquid
321.00	0.10132	10.873	0.091967	-4.6704	-4.6610	-13.831	99.793	140.62	1195.1	-0.38789	451.63	0.13380	liquid
322.00	0.10132	10.860	0.092084	-4.5296	-4.5203	-13.393	100.00	140.87	1190.5	-0.38624	446.43	0.13348	liquid
323.00	0.10132	10.846	0.092201	-4.3887	-4.3793	-12.956	100.22	141.11	1186.0	-0.38457	441.32	0.13316	liquid
324.00	0.10132	10.832	0.092319	-4.2474	-4.2381	-12.519	100.43	141.35	1181.4	-0.38290	436.30	0.13284	liquid
325.00	0.10132	10.818	0.092437	-4.1060	-4.0966	-12.083	100.64	141.60	1176.9	-0.38121	431.37	0.13253	liquid
326.00	0.10132	10.804	0.092555	-3.9643	-3.9549	-11.648	100.85	141.84	1172.4	-0.37951	426.53	0.13221	liquid
327.00	0.10132	10.790	0.092674	-3.8223	-3.8129	-11.213	101.07	142.09	1167.8	-0.37781	421.76	0.13189	liquid
328.00	0.10132	10.777	0.092794	-3.6801	-3.6707	-10.779	101.28	142.34	1163.3	-0.37609	417.08	0.13158	liquid
329.00	0.10132	10.763	0.092914	-3.5377	-3.5282	-10.345	101.50	142.59	1158.8	-0.37436	412.48	0.13126	liquid
330.00	0.10132	10.749	0.093034	-3.3950	-3.3855	-9.9120	101.71	142.84	1154.3	-0.37262	407.96	0.13095	liquid
331.00	0.10132	10.735	0.093155	-3.2520	-3.2426	-9.4795	101.93	143.09	1149.8	-0.37088	403.51	0.13064	liquid
332.00	0.10132	10.721	0.093276	-3.1088	-3.0994	-9.0475	102.14	143.34	1145.3	-0.36912	399.13	0.13032	liquid
333.00	0.10132	10.707	0.093398	-2.9654	-2.9559	-8.6160	102.36	143.59	1140.8	-0.36735	394.83	0.13001	liquid
334.00	0.10132	10.693	0.093520	-2.8217	-2.8122	-8.1851	102.58	143.84	1136.3	-0.36556	390.59	0.12970	liquid
335.00	0.10132	10.679	0.093643	-2.6777	-2.6682	-7.7547	102.80	144.10	1131.8	-0.36377	386.43	0.12939	liquid
336.00	0.10132	10.665	0.093767	-2.5335	-2.5240	-7.3248	103.01	144.35	1127.4	-0.36197	382.33	0.12907	liquid
337.00	0.10132	10.651	0.093890	-2.3890	-2.3795	-6.8955	103.23	144.61	1122.9	-0.36015	378.29	0.12876	liquid
338.00	0.10132	10.637	0.094015	-2.2443	-2.2348	-6.4666	103.45	144.86	1118.4	-0.35833	374.32	0.12845	liquid
339.00	0.10132	10.623	0.094139	-2.0993	-2.0898	-6.0383	103.67	145.12	1114.0	-0.35649	370.41	0.12814	liquid
340.00	0.10132	10.608	0.094265	-1.9541	-1.9445	-5.6105	103.89	145.38	1109.5	-0.35464	366.56	0.12783	liquid
341.00	0.10132	10.594	0.094391	-1.8086	-1.7990	-5.1831	104.11	145.63	1105.1	-0.35278	362.77	0.12752	liquid
342.00	0.10132	10.580	0.094517	-1.6629	-1.6533	-4.7563	104.33	145.89	1100.6	-0.35091	359.04	0.12721	liquid
343.00	0.10132	10.566	0.094644	-1.5168	-1.5073	-4.3299	104.55	146.15	1096.2	-0.34903	355.36	0.12690	liquid
344.00	0.10132	10.552	0.094772	-1.3706	-1.3610	-3.9041	104.77	146.42	1091.8	-0.34713	351.74	0.12659	liquid
345.00	0.10132	10.537	0.094900	-1.2240	-1.2144	-3.4787	104.99	146.68	1087.4	-0.34522	348.17	0.12629	liquid
346.00	0.10132	10.523	0.095028	-1.0772	-1.0676	-3.0538	105.21	146.94	1082.9	-0.34330	344.65	0.12598	liquid
347.00	0.10132	10.509	0.095157	-0.93019	-0.92054	-2.6293	105.43	147.20	1078.5	-0.34137	341.19	0.12567	liquid
348.00	0.10132	10.495	0.095287	-0.78286	-0.77321	-2.2053	105.66	147.47	1074.1	-0.33943	337.78	0.12536	liquid
349.00	0.10132	10.480	0.095417	-0.63528	-0.62561	-1.7818	105.88	147.73	1069.7	-0.33747	334.41	0.12506	liquid
350.00	0.10132	10.466	0.095548	-0.48743	-0.47775	-1.3587	106.10	148.00	1065.3	-0.33550	331.09	0.12475	liquid
351.00	0.10132	10.452	0.095679	-0.33931	-0.32962	-0.93613	106.32	148.26	1060.9	-0.33352	327.82	0.12444	liquid
352.00	0.10132	10.437	0.095812	-0.19093	-0.18122	-0.51395	106.55	148.53	1056.6	-0.33152	324.60	0.12414	liquid
353.00	0.10132	10.423	0.095944	-0.042282	-0.032560	-0.092210	106.77	148.80	1052.2	-0.32951	321.42	0.12383	liquid
353.22	0.10132	10.420	0.095973	-0.0097245	-9.7877e-16	0.0000	106.82	148.86	1051.2	-0.32907	320.73	0.12376	liquid
353.22	0.10132	0.035713	28.001	27.915	30.752	87.063	91.613	101.34	196.90	33.229	8.8652	0.015373	vapor
354.00	0.10132	0.035625	28.070	27.987	30.832	87.287	91.855	101.57	197.13	32.973	8.8854	0.015443	vapor
355.00	0.10132	0.035512	28.159	28.080	30.933	87.574	92.163	101.86	197.44	32.650	8.9113	0.015534	vapor
356.00	0.10132	0.035401	28.248	28.173	31.035	87.861	92.472	102.16	197.74	32.330	8.9371	0.015625	vapor
357.00	0.10132	0.035290	28.336	28.266	31.138	88.148	92.780	102.45	198.04	32.015	8.9629	0.015716	vapor
358.00	0.10132	0.035180	28.425	28.360	31.240	88.435	93.087	102.75	198.34	31.703	8.9887	0.015808	vapor
359.00	0.10132	0.035071	28.513	28.454	31.343	88.722	93.395	103.04	198.63	31.396	9.0145	0.015899	vapor
360.00	0.10132	0.034963	28.602	28.548	31.446	89.009	93.702	103.34	198.93	31.092	9.0403	0.015991	vapor
361.00	0.10132	0.034855	28.690	28.643	31.550	89.296	94.008	103.63	199.23	30.792	9.0661	0.016083	vapor
362.00	0.10132	0.034748	28.778	28.738	31.654	89.583	94.314	103.92	199.53	30.496	9.0918	0.016175	vapor
363.00	0.10132	0.034642	28.867	28.833	31.758	89.871	94.620	104.21	199.82	30.204	9.1175	0.016268	vapor
364.00	0.10132	0.034537	28.955	28.928	31.862	90.158	94.925	104.51	200.12	29.915	9.1433	0.016360	vapor
365.00	0.10132	0.034432	29.043	29.024	31.967	90.445	95.229	104.80	200.41	29.629	9.1690	0.016453	vapor
366.00	0.10132	0.034328	29.131	29.120	32.072	90.732	95.534	105.09	200.70	29.348	9.1946	0.016546	vapor
367.00	0.10132	0.034224	29.219	29.216	32.177	91.019	95.838	105.38	201.00	29.069	9.2203	0.016639	vapor
368.00	0.10132	0.034122	29.307	29.313	32.282	91.306	96.141	105.67	201.29	28.795	9.2460	0.016732	vapor
369.00	0.10132	0.034020	29.395	29.410	32.388	91.593	96.444	105.97	201.58	28.523	9.2716	0.016826	vapor
370.00	0.10132	0.033918	29.483	29.507	32.494	91.880	96.746	106.26	201.87	28.255	9.2972	0.016920	vapor
371.00	0.10132	0.033818	29.570	29.605	32.601	92.168	97.048	106.55	202.16	27.990	9.3228	0.017014	vapor
372.00	0.10132	0.033718	29.658	29.702	32.707	92.455	97.350	106.84	202.45	27.729	9.3484	0.017108	vapor
373.00	0.10132	0.033618	29.746	29.800	32.814	92.742	97.651	107.13	202.74	27.470	9.3740	0.017202	vapor
374.00	0.10132	0.033519	29.833	29.899	32.922	93.029	97.952	107.42	203.03	27.215	9.3996	0.017296	vapor
375.00	0.10132	0.033421	29.921	29.998	33.029	93.316	98.252	107.71	203.32	26.963	9.4252	0.017391	vapor
376.00	0.10132	0.033324	30.008	30.096	33.137	93.604	98.551	107.99	203.61	26.714	9.4507	0.017486	vapor
