Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
175.61	0.10132	28.232	0.035421	-12.440	-12.437	-49.528	56.732	70.384	1625.4	-0.40892	12825.	0.22044	liquid
178.61	0.10132	28.141	0.035536	-12.229	-12.225	-48.333	56.712	70.666	1601.1	-0.40509	11159.	0.22026	liquid
179.61	0.10132	28.110	0.035575	-12.158	-12.154	-47.938	56.699	70.726	1593.4	-0.40413	10645.	0.22019	liquid
180.61	0.10132	28.079	0.035614	-12.087	-12.084	-47.545	56.684	70.773	1586.0	-0.40330	10155.	0.22011	liquid
181.61	0.10132	28.048	0.035653	-12.016	-12.013	-47.154	56.669	70.810	1578.7	-0.40257	9688.2	0.22003	liquid
182.61	0.10132	28.017	0.035692	-11.946	-11.942	-46.766	56.653	70.837	1571.7	-0.40194	9245.2	0.21994	liquid
183.61	0.10132	27.986	0.035732	-11.875	-11.871	-46.379	56.638	70.857	1564.8	-0.40139	8825.7	0.21985	liquid
184.61	0.10132	27.955	0.035772	-11.804	-11.800	-45.994	56.624	70.871	1558.1	-0.40091	8429.1	0.21975	liquid
185.61	0.10132	27.924	0.035812	-11.733	-11.729	-45.611	56.611	70.880	1551.5	-0.40049	8054.5	0.21965	liquid
186.61	0.10132	27.893	0.035852	-11.662	-11.658	-45.230	56.600	70.885	1545.2	-0.40012	7701.1	0.21955	liquid
187.61	0.10132	27.861	0.035892	-11.591	-11.588	-44.851	56.592	70.888	1538.9	-0.39978	7367.7	0.21944	liquid
188.61	0.10132	27.830	0.035932	-11.520	-11.517	-44.474	56.585	70.889	1532.8	-0.39948	7053.5	0.21933	liquid
189.61	0.10132	27.799	0.035973	-11.449	-11.446	-44.099	56.581	70.889	1526.9	-0.39921	6757.3	0.21921	liquid
190.61	0.10132	27.768	0.036013	-11.379	-11.375	-43.727	56.580	70.889	1521.0	-0.39895	6478.0	0.21909	liquid
191.61	0.10132	27.736	0.036054	-11.308	-11.304	-43.356	56.582	70.888	1515.3	-0.39871	6214.7	0.21897	liquid
192.61	0.10132	27.705	0.036094	-11.237	-11.233	-42.987	56.586	70.889	1509.7	-0.39848	5966.4	0.21885	liquid
193.61	0.10132	27.674	0.036135	-11.166	-11.162	-42.620	56.593	70.891	1504.3	-0.39826	5732.0	0.21872	liquid
194.61	0.10132	27.643	0.036176	-11.095	-11.091	-42.254	56.602	70.894	1498.9	-0.39804	5510.7	0.21859	liquid
195.61	0.10132	27.611	0.036217	-11.024	-11.020	-41.891	56.615	70.898	1493.6	-0.39781	5301.7	0.21846	liquid
196.61	0.10132	27.580	0.036258	-10.953	-10.950	-41.529	56.630	70.905	1488.4	-0.39759	5104.1	0.21833	liquid
197.61	0.10132	27.549	0.036299	-10.882	-10.879	-41.170	56.648	70.913	1483.3	-0.39736	4917.2	0.21820	liquid
198.61	0.10132	27.518	0.036340	-10.811	-10.808	-40.812	56.669	70.924	1478.3	-0.39712	4740.2	0.21806	liquid
199.61	0.10132	27.487	0.036381	-10.740	-10.737	-40.455	56.692	70.937	1473.4	-0.39687	4572.6	0.21792	liquid
200.61	0.10132	27.455	0.036423	-10.670	-10.666	-40.101	56.718	70.953	1468.5	-0.39662	4413.6	0.21778	liquid
201.61	0.10132	27.424	0.036464	-10.599	-10.595	-39.748	56.746	70.971	1463.7	-0.39635	4262.8	0.21764	liquid
202.61	0.10132	27.393	0.036505	-10.528	-10.524	-39.397	56.777	70.991	1459.0	-0.39607	4119.6	0.21749	liquid
203.61	0.10132	27.362	0.036547	-10.457	-10.453	-39.047	56.810	71.014	1454.3	-0.39578	3983.4	0.21735	liquid
204.61	0.10132	27.331	0.036588	-10.386	-10.382	-38.699	56.845	71.039	1449.7	-0.39548	3853.9	0.21720	liquid
205.61	0.10132	27.300	0.036630	-10.315	-10.311	-38.353	56.883	71.066	1445.2	-0.39517	3730.6	0.21705	liquid
206.61	0.10132	27.269	0.036671	-10.243	-10.240	-38.008	56.923	71.096	1440.7	-0.39484	3613.2	0.21690	liquid
207.61	0.10132	27.238	0.036713	-10.172	-10.169	-37.665	56.965	71.128	1436.2	-0.39450	3501.2	0.21674	liquid
208.61	0.10132	27.207	0.036755	-10.101	-10.097	-37.323	57.009	71.162	1431.8	-0.39415	3394.3	0.21659	liquid
209.61	0.10132	27.177	0.036796	-10.030	-10.026	-36.982	57.055	71.199	1427.4	-0.39378	3292.2	0.21643	liquid
210.61	0.10132	27.146	0.036838	-9.9588	-9.9551	-36.643	57.103	71.238	1423.1	-0.39341	3194.6	0.21628	liquid
211.61	0.10132	27.115	0.036880	-9.8876	-9.8838	-36.306	57.153	71.279	1418.8	-0.39302	3101.3	0.21612	liquid
212.61	0.10132	27.084	0.036922	-9.8163	-9.8125	-35.970	57.205	71.321	1414.5	-0.39262	3011.9	0.21596	liquid
213.61	0.10132	27.053	0.036964	-9.7449	-9.7412	-35.635	57.259	71.366	1410.3	-0.39221	2926.4	0.21580	liquid
214.61	0.10132	27.023	0.037006	-9.6735	-9.6698	-35.302	57.315	71.413	1406.1	-0.39178	2844.3	0.21564	liquid
215.61	0.10132	26.992	0.037048	-9.6021	-9.5983	-34.969	57.372	71.462	1401.9	-0.39135	2765.6	0.21547	liquid
216.61	0.10132	26.961	0.037090	-9.5306	-9.5269	-34.639	57.431	71.512	1397.7	-0.39090	2690.1	0.21531	liquid
217.61	0.10132	26.931	0.037133	-9.4591	-9.4553	-34.309	57.492	71.565	1393.6	-0.39045	2617.5	0.21514	liquid
218.61	0.10132	26.900	0.037175	-9.3875	-9.3837	-33.981	57.555	71.619	1389.5	-0.38998	2547.8	0.21498	liquid
219.61	0.10132	26.869	0.037217	-9.3159	-9.3121	-33.654	57.619	71.674	1385.4	-0.38950	2480.8	0.21481	liquid
220.61	0.10132	26.839	0.037260	-9.2442	-9.2404	-33.328	57.685	71.732	1381.3	-0.38902	2416.2	0.21464	liquid
221.61	0.10132	26.808	0.037302	-9.1724	-9.1686	-33.004	57.752	71.791	1377.3	-0.38852	2354.1	0.21447	liquid
222.61	0.10132	26.778	0.037344	-9.1006	-9.0968	-32.680	57.821	71.851	1373.2	-0.38802	2294.2	0.21430	liquid
223.61	0.10132	26.747	0.037387	-9.0287	-9.0249	-32.358	57.892	71.914	1369.2	-0.38751	2236.5	0.21413	liquid
224.61	0.10132	26.717	0.037430	-8.9568	-8.9530	-32.037	57.964	71.977	1365.2	-0.38699	2180.9	0.21396	liquid
225.61	0.10132	26.686	0.037472	-8.8848	-8.8810	-31.717	58.038	72.042	1361.2	-0.38646	2127.2	0.21378	liquid
226.61	0.10132	26.656	0.037515	-8.8127	-8.8089	-31.398	58.114	72.109	1357.2	-0.38592	2075.4	0.21361	liquid
227.61	0.10132	26.626	0.037558	-8.7405	-8.7367	-31.081	58.191	72.177	1353.3	-0.38537	2025.3	0.21343	liquid
228.61	0.10132	26.595	0.037601	-8.6683	-8.6645	-30.764	58.269	72.247	1349.3	-0.38482	1977.0	0.21326	liquid
229.61	0.10132	26.565	0.037643	-8.5961	-8.5922	-30.449	58.349	72.318	1345.4	-0.38426	1930.2	0.21308	liquid
230.61	0.10132	26.535	0.037686	-8.5237	-8.5199	-30.134	58.431	72.390	1341.5	-0.38369	1885.0	0.21290	liquid
231.61	0.10132	26.505	0.037729	-8.4513	-8.4475	-29.821	58.515	72.464	1337.6	-0.38311	1841.3	0.21272	liquid
